image_path,speed_kmh,acceleration_ms2,vibration_hz,temperature_c,hazard
synthetic_data/images/normal_66.png,55.41,-0.06,7.07,30.39,normal
synthetic_data/images/normal_67.png,48.69,-0.19,6.04,34.45,normal
synthetic_data/images/normal_68.png,65.94,0.07,5.68,19.18,normal
synthetic_data/images/normal_69.png,75.94,-0.31,9.94,30.7,normal
synthetic_data/images/normal_70.png,50.48,-0.14,14.6,17.59,normal
synthetic_data/images/normal_71.png,73.03,-0.7,5.38,34.7,normal
synthetic_data/images/normal_72.png,48.03,0.39,7.71,18.5,normal
synthetic_data/images/normal_73.png,49.43,0.03,9.29,32.67,normal
synthetic_data/images/normal_74.png,65.27,-0.08,13.46,19.49,normal
synthetic_data/images/normal_75.png,58.9,-0.01,9.89,27.23,normal
synthetic_data/images/normal_76.png,76.31,-0.5,9.31,31.78,normal
synthetic_data/images/normal_77.png,66.96,0.9,9.1,29.35,normal
synthetic_data/images/normal_78.png,71.26,-0.54,6.18,30.48,normal
synthetic_data/images/normal_79.png,63.67,0.41,13.69,28.61,normal
synthetic_data/images/normal_80.png,73.57,0.46,9.86,28.72,normal
synthetic_data/images/normal_81.png,61.81,0.51,8.31,20.38,normal
synthetic_data/images/normal_82.png,50.73,0.33,6.36,15.21,normal
synthetic_data/images/normal_83.png,53.3,0.55,12.35,33.02,normal
synthetic_data/images/normal_84.png,59.5,-1.16,11.41,30.42,normal
synthetic_data/images/normal_85.png,61.19,0.53,5.54,31.01,normal
synthetic_data/images/normal_86.png,70.66,0.09,12.07,23.31,normal
synthetic_data/images/normal_87.png,69.91,-0.03,12.98,33.26,normal
synthetic_data/images/normal_88.png,42.96,0.13,12.48,22.46,normal
synthetic_data/images/normal_89.png,44.27,-0.04,9.38,19.49,normal
synthetic_data/images/normal_90.png,64.72,-0.64,6.43,29.42,normal
synthetic_data/images/normal_91.png,50.77,-0.45,10.22,19.64,normal
synthetic_data/images/normal_92.png,58.48,0.04,7.83,20.44,normal
synthetic_data/images/normal_93.png,71.83,0.5,5.31,27.45,normal
synthetic_data/images/normal_94.png,64.24,-0.09,12.8,18.59,normal
synthetic_data/images/normal_95.png,61.48,-0.28,14.95,33.38,normal
synthetic_data/images/normal_96.png,45.9,0.05,7.17,22.54,normal
synthetic_data/images/normal_97.png,42.89,-0.1,9.04,15.84,normal
synthetic_data/images/normal_98.png,44.35,0.3,6.65,34.1,normal
synthetic_data/images/normal_99.png,41.51,0.0,8.35,15.7,normal
synthetic_data/images/normal_100.png,45.28,0.72,6.2,33.14,normal
synthetic_data/images/pothole_1.png,38.77,-1.99,53.38,22.0,pothole
synthetic_data/images/pothole_2.png,27.49,-2.83,67.29,32.96,pothole
synthetic_data/images/pothole_3.png,25.17,-1.34,86.95,23.26,pothole
synthetic_data/images/pothole_4.png,36.47,0.53,50.03,15.25,pothole
synthetic_data/images/pothole_5.png,32.95,-1.09,92.69,27.87,pothole
synthetic_data/images/pothole_6.png,38.87,-1.46,87.42,15.6,pothole
synthetic_data/images/pothole_7.png,48.2,-2.04,95.13,19.44,pothole
synthetic_data/images/pothole_8.png,33.06,-1.89,86.11,19.56,pothole
synthetic_data/images/pothole_9.png,45.58,-3.07,84.28,19.62,pothole
synthetic_data/images/pothole_10.png,36.47,-2.47,96.35,16.4,pothole
synthetic_data/images/pothole_11.png,31.04,-0.72,59.13,16.03,pothole
synthetic_data/images/pothole_12.png,32.69,-1.12,72.11,32.17,pothole
synthetic_data/images/pothole_13.png,48.01,-0.07,66.68,33.55,pothole
synthetic_data/images/pothole_14.png,22.13,-2.57,98.81,28.53,pothole
synthetic_data/images/pothole_15.png,25.2,-0.76,71.2,23.19,pothole
synthetic_data/images/pothole_16.png,31.71,-2.09,61.46,17.47,pothole
synthetic_data/images/pothole_17.png,34.51,-2.69,91.98,24.18,pothole
synthetic_data/images/pothole_18.png,43.56,-3.11,87.74,28.74,pothole
synthetic_data/images/pothole_19.png,49.74,-2.13,75.49,23.15,pothole
synthetic_data/images/pothole_20.png,36.44,-2.76,56.74,32.91,pothole
synthetic_data/images/pothole_21.png,20.2,-2.63,53.61,28.69,pothole
synthetic_data/images/pothole_22.png,21.08,-1.2,53.77,20.47,pothole
synthetic_data/images/pothole_23.png,29.35,-1.87,98.83,23.83,pothole
synthetic_data/images/pothole_24.png,21.51,-1.24,75.95,15.84,pothole
synthetic_data/images/pothole_25.png,24.38,-3.24,74.36,21.84,pothole
synthetic_data/images/pothole_26.png,48.54,-1.53,93.01,31.76,pothole
synthetic_data/images/pothole_27.png,30.14,-0.8,64.2,29.79,pothole
synthetic_data/images/pothole_28.png,26.39,-2.24,78.15,16.02,pothole
synthetic_data/images/pothole_29.png,27.53,-1.86,75.67,25.27,pothole
synthetic_data/images/pothole_30.png,32.46,-2.05,62.78,24.44,pothole
synthetic_data/images/pothole_31.png,30.81,-1.96,92.9,22.89,pothole
synthetic_data/images/pothole_32.png,38.82,-1.37,70.18,26.81,pothole
synthetic_data/images/pothole_33.png,39.9,-3.4,77.92,25.95,pothole
synthetic_data/images/pothole_34.png,49.66,-3.27,88.89,17.78,pothole
synthetic_data/images/pothole_35.png,29.64,-1.67,57.03,16.36,pothole
synthetic_data/images/pothole_36.png,21.51,-3.23,75.31,33.94,pothole
synthetic_data/images/pothole_37.png,26.44,-1.65,74.78,16.17,pothole
synthetic_data/images/pothole_38.png,35.03,-2.63,60.49,29.44,pothole
synthetic_data/images/pothole_39.png,25.29,-1.5,55.71,18.44,pothole
synthetic_data/images/pothole_40.png,26.99,-2.61,90.92,21.29,pothole
synthetic_data/images/pothole_41.png,37.59,-2.89,98.17,17.64,pothole
synthetic_data/images/pothole_42.png,42.37,-4.11,79.39,23.93,pothole
synthetic_data/images/pothole_43.png,31.57,-2.39,75.28,31.66,pothole
synthetic_data/images/pothole_44.png,27.9,-1.82,74.12,25.53,pothole
synthetic_data/images/pothole_45.png,21.17,-3.26,69.34,31.33,pothole
synthetic_data/images/pothole_46.png,35.04,-0.5,71.49,22.29,pothole
synthetic_data/images/pothole_47.png,21.96,-1.07,80.32,23.91,pothole
synthetic_data/images/pothole_48.png,25.47,0.16,65.17,17.6,pothole
synthetic_data/images/pothole_49.png,37.02,-1.25,71.44,29.58,pothole
synthetic_data/images/pothole_50.png,26.66,-2.03,91.09,22.12,pothole
synthetic_data/images/pothole_51.png,20.86,-2.6,86.57,24.05,pothole
synthetic_data/images/pothole_52.png,32.59,-1.95,57.32,29.72,pothole
synthetic_data/images/pothole_53.png,47.43,-1.25,78.97,32.1,pothole
synthetic_data/images/pothole_54.png,28.32,-2.0,82.87,33.8,pothole
synthetic_data/images/pothole_55.png,43.65,-2.77,71.17,23.51,pothole
synthetic_data/images/pothole_56.png,31.52,-1.99,78.77,18.07,pothole
synthetic_data/images/pothole_57.png,23.16,-1.31,57.95,29.19,pothole
synthetic_data/images/pothole_58.png,44.22,-0.93,81.7,17.74,pothole
synthetic_data/images/pothole_59.png,42.53,-3.17,72.09,27.62,pothole
synthetic_data/images/pothole_60.png,34.84,-0.15,91.66,25.33,pothole
synthetic_data/images/pothole_61.png,32.23,-1.7,56.9,20.58,pothole
synthetic_data/images/pothole_62.png,29.13,-1.05,81.41,32.5,pothole
synthetic_data/images/pothole_63.png,29.82,-1.31,61.12,22.81,pothole
synthetic_data/images/pothole_64.png,44.96,-2.9,59.37,34.41,pothole
synthetic_data/images/pothole_65.png,34.26,-0.87,95.51,19.59,pothole
synthetic_data/images/pothole_66.png,31.77,-0.23,76.62,17.26,pothole
synthetic_data/images/pothole_67.png,49.19,-1.54,54.73,29.85,pothole
synthetic_data/images/pothole_68.png,32.71,-0.62,88.88,16.08,pothole
synthetic_data/images/pothole_69.png,47.61,-2.37,68.44,19.44,pothole
synthetic_data/images/pothole_70.png,38.6,-1.92,72.66,24.14,pothole
synthetic_data/images/pothole_71.png,44.13,-1.94,53.81,30.4,pothole
synthetic_data/images/pothole_72.png,22.55,-3.33,74.89,33.36,pothole
synthetic_data/images/pothole_73.png,24.28,-2.31,92.43,27.12,pothole
synthetic_data/images/pothole_74.png,29.47,-2.08,98.24,27.94,pothole
synthetic_data/images/pothole_75.png,26.12,-3.29,62.44,19.43,pothole
synthetic_data/images/pothole_76.png,49.0,0.22,92.89,15.77,pothole
synthetic_data/images/pothole_77.png,23.04,-1.85,59.27,30.53,pothole
synthetic_data/images/pothole_78.png,23.61,-3.42,94.19,26.09,pothole
synthetic_data/images/pothole_79.png,45.75,-2.39,77.37,26.35,pothole
synthetic_data/images/pothole_80.png,29.1,-0.45,55.15,18.42,pothole
synthetic_data/images/pothole_81.png,49.82,-3.21,73.72,30.79,pothole
synthetic_data/images/pothole_82.png,28.43,-1.06,73.32,24.88,pothole
synthetic_data/images/pothole_83.png,40.03,-1.84,97.97,25.83,pothole
synthetic_data/images/pothole_84.png,32.25,-2.79,64.14,16.97,pothole
synthetic_data/images/pothole_85.png,36.63,-1.04,88.03,18.39,pothole
synthetic_data/images/pothole_86.png,30.33,-1.49,77.53,20.96,pothole
synthetic_data/images/pothole_87.png,46.44,-1.06,84.73,33.94,pothole
synthetic_data/images/pothole_88.png,25.03,-0.54,54.71,31.25,pothole
synthetic_data/images/pothole_89.png,25.36,-2.16,56.24,25.35,pothole
synthetic_data/images/pothole_90.png,36.86,-1.85,77.94,29.82,pothole
synthetic_data/images/pothole_91.png,34.55,-1.93,56.56,21.95,pothole
synthetic_data/images/pothole_92.png,30.8,-1.22,99.84,28.74,pothole
synthetic_data/images/pothole_93.png,48.56,-2.23,82.09,25.73,pothole
synthetic_data/images/pothole_94.png,41.7,-2.76,87.81,33.91,pothole
synthetic_data/images/pothole_95.png,42.49,-2.42,50.87,26.53,pothole
synthetic_data/images/pothole_96.png,48.2,-0.79,56.02,27.16,pothole
synthetic_data/images/pothole_97.png,47.03,-1.79,51.08,26.3,pothole
synthetic_data/images/pothole_98.png,28.19,-2.11,51.08,21.86,pothole
synthetic_data/images/pothole_99.png,22.27,-1.76,59.87,16.53,pothole
synthetic_data/images/pothole_100.png,44.59,-0.83,65.95,25.04,pothole
synthetic_data/images/sharp_turn_1.png,33.54,-1.64,13.3,31.52,sharp_turn
synthetic_data/images/sharp_turn_2.png,25.39,-1.86,19.61,30.67,sharp_turn
synthetic_data/images/sharp_turn_3.png,39.76,-1.66,18.93,31.17,sharp_turn
synthetic_data/images/sharp_turn_4.png,32.41,-3.0,18.12,30.49,sharp_turn
synthetic_data/images/sharp_turn_5.png,35.59,-3.55,14.39,26.11,sharp_turn
synthetic_data/images/sharp_turn_6.png,31.27,-2.45,10.51,20.88,sharp_turn
synthetic_data/images/sharp_turn_7.png,20.4,-1.18,11.65,23.79,sharp_turn
synthetic_data/images/sharp_turn_8.png,35.97,-1.93,13.55,18.73,sharp_turn
synthetic_data/images/sharp_turn_9.png,31.64,-3.47,10.6,25.39,sharp_turn
synthetic_data/images/sharp_turn_10.png,25.44,-0.15,16.99,24.15,sharp_turn
synthetic_data/images/sharp_turn_11.png,27.47,-1.38,16.05,27.2,sharp_turn
synthetic_data/images/sharp_turn_12.png,21.26,-1.65,16.69,17.87,sharp_turn
synthetic_data/images/sharp_turn_13.png,34.53,-2.37,18.37,28.82,sharp_turn
synthetic_data/images/sharp_turn_14.png,35.14,-2.12,15.04,18.47,sharp_turn
synthetic_data/images/sharp_turn_15.png,35.73,-1.9,19.95,28.51,sharp_turn
synthetic_data/images/sharp_turn_16.png,38.6,-0.45,14.09,28.05,sharp_turn
synthetic_data/images/sharp_turn_17.png,35.55,-1.51,17.28,32.58,sharp_turn
synthetic_data/images/sharp_turn_18.png,33.04,-2.96,18.12,31.84,sharp_turn
synthetic_data/images/sharp_turn_19.png,21.78,-1.47,18.78,30.59,sharp_turn
synthetic_data/images/sharp_turn_20.png,37.4,-1.96,18.39,25.96,sharp_turn
synthetic_data/images/sharp_turn_21.png,36.85,-2.45,13.22,15.4,sharp_turn
synthetic_data/images/sharp_turn_22.png,37.83,-0.03,12.87,15.06,sharp_turn
synthetic_data/images/sharp_turn_23.png,37.95,-1.33,15.48,21.37,sharp_turn
synthetic_data/images/sharp_turn_24.png,37.59,-2.57,19.56,26.53,sharp_turn
synthetic_data/images/sharp_turn_25.png,34.59,-2.2,12.65,27.91,sharp_turn
synthetic_data/images/sharp_turn_26.png,24.74,-1.8,12.3,20.84,sharp_turn
synthetic_data/images/sharp_turn_27.png,23.69,-1.69,18.78,26.08,sharp_turn
synthetic_data/images/sharp_turn_28.png,29.69,-3.11,14.17,16.13,sharp_turn
synthetic_data/images/sharp_turn_29.png,38.78,-1.67,14.3,24.04,sharp_turn
synthetic_data/images/sharp_turn_30.png,32.92,-2.22,19.5,15.35,sharp_turn
synthetic_data/images/sharp_turn_31.png,20.81,-1.17,14.81,25.88,sharp_turn
synthetic_data/images/sharp_turn_32.png,30.52,-2.1,14.76,30.18,sharp_turn
synthetic_data/images/sharp_turn_33.png,32.7,-1.01,12.36,18.5,sharp_turn
synthetic_data/images/sharp_turn_34.png,22.94,-0.83,10.54,26.81,sharp_turn
synthetic_data/images/sharp_turn_35.png,27.24,-1.54,18.32,18.36,sharp_turn
synthetic_data/images/sharp_turn_36.png,23.96,-1.21,16.89,33.93,sharp_turn
synthetic_data/images/sharp_turn_37.png,22.39,-1.21,10.54,34.71,sharp_turn
synthetic_data/images/sharp_turn_38.png,39.53,-1.34,18.67,19.48,sharp_turn
synthetic_data/images/sharp_turn_39.png,35.6,-2.29,13.46,22.34,sharp_turn
synthetic_data/images/sharp_turn_40.png,39.78,-2.42,15.37,28.66,sharp_turn
synthetic_data/images/sharp_turn_41.png,20.43,-1.87,13.13,16.33,sharp_turn
synthetic_data/images/sharp_turn_42.png,29.21,-1.66,11.17,24.32,sharp_turn
synthetic_data/images/sharp_turn_43.png,27.17,0.28,17.97,23.69,sharp_turn
synthetic_data/images/sharp_turn_44.png,29.01,-1.45,15.78,21.92,sharp_turn
synthetic_data/images/sharp_turn_45.png,31.66,-2.72,15.83,16.13,sharp_turn
synthetic_data/images/sharp_turn_46.png,27.11,-1.62,13.57,28.36,sharp_turn
synthetic_data/images/sharp_turn_47.png,37.25,-2.31,19.98,15.82,sharp_turn
synthetic_data/images/sharp_turn_48.png,29.08,-1.07,17.0,25.63,sharp_turn
synthetic_data/images/sharp_turn_49.png,22.76,0.11,11.41,21.29,sharp_turn
synthetic_data/images/sharp_turn_50.png,27.17,-1.91,13.39,18.26,sharp_turn
synthetic_data/images/sharp_turn_51.png,26.83,-1.35,18.27,30.81,sharp_turn
synthetic_data/images/sharp_turn_52.png,38.93,-1.75,13.54,32.54,sharp_turn
synthetic_data/images/sharp_turn_53.png,38.01,-3.47,10.66,28.53,sharp_turn
synthetic_data/images/sharp_turn_54.png,22.71,-0.76,12.08,31.42,sharp_turn
synthetic_data/images/sharp_turn_55.png,20.23,-1.63,10.34,28.31,sharp_turn
synthetic_data/images/sharp_turn_56.png,23.14,-1.68,10.62,22.85,sharp_turn
synthetic_data/images/sharp_turn_57.png,29.66,0.06,14.28,18.37,sharp_turn
synthetic_data/images/sharp_turn_58.png,38.31,-1.59,16.21,23.95,sharp_turn
synthetic_data/images/sharp_turn_59.png,26.05,-2.82,14.77,17.66,sharp_turn
synthetic_data/images/sharp_turn_60.png,34.61,-1.07,15.93,27.81,sharp_turn
synthetic_data/images/sharp_turn_61.png,37.94,-1.18,12.57,15.75,sharp_turn
synthetic_data/images/sharp_turn_62.png,20.08,-1.68,11.33,28.24,sharp_turn
synthetic_data/images/sharp_turn_63.png,37.89,-1.8,15.37,17.16,sharp_turn
synthetic_data/images/sharp_turn_64.png,30.55,-1.65,12.25,20.47,sharp_turn
synthetic_data/images/sharp_turn_65.png,29.16,-2.31,14.2,16.77,sharp_turn
synthetic_data/images/sharp_turn_66.png,38.22,-2.2,16.15,20.34,sharp_turn
synthetic_data/images/sharp_turn_67.png,25.53,-2.92,18.05,21.58,sharp_turn
synthetic_data/images/sharp_turn_68.png,24.81,-2.78,11.22,29.0,sharp_turn
synthetic_data/images/sharp_turn_69.png,34.81,-1.19,13.86,15.35,sharp_turn
synthetic_data/images/sharp_turn_70.png,37.56,-1.74,13.07,19.27,sharp_turn
synthetic_data/images/sharp_turn_71.png,23.66,-1.22,13.84,18.52,sharp_turn
synthetic_data/images/sharp_turn_72.png,22.95,-0.79,18.31,29.66,sharp_turn
synthetic_data/images/sharp_turn_73.png,35.53,-2.49,15.29,24.03,sharp_turn
synthetic_data/images/sharp_turn_74.png,33.95,-1.68,13.8,21.12,sharp_turn
synthetic_data/images/sharp_turn_75.png,29.34,-2.36,10.2,22.32,sharp_turn
synthetic_data/images/sharp_turn_76.png,37.75,-2.16,13.87,25.7,sharp_turn
synthetic_data/images/sharp_turn_77.png,36.77,-2.73,14.63,26.88,sharp_turn
synthetic_data/images/sharp_turn_78.png,39.72,-2.57,19.7,29.1,sharp_turn
synthetic_data/images/sharp_turn_79.png,20.24,-1.69,14.83,20.02,sharp_turn
synthetic_data/images/sharp_turn_80.png,28.94,-1.44,10.04,18.3,sharp_turn
synthetic_data/images/sharp_turn_81.png,24.37,-0.85,14.41,18.53,sharp_turn
synthetic_data/images/sharp_turn_82.png,25.46,-1.6,19.6,33.53,sharp_turn
synthetic_data/images/sharp_turn_83.png,22.4,-2.16,13.41,17.78,sharp_turn
synthetic_data/images/sharp_turn_84.png,29.86,-1.28,14.01,32.82,sharp_turn
synthetic_data/images/sharp_turn_85.png,39.61,-1.27,16.43,15.48,sharp_turn
synthetic_data/images/sharp_turn_86.png,21.82,-0.04,12.07,27.58,sharp_turn
synthetic_data/images/sharp_turn_87.png,36.65,-2.14,19.93,16.07,sharp_turn
synthetic_data/images/sharp_turn_88.png,36.97,-0.34,19.84,26.82,sharp_turn
synthetic_data/images/sharp_turn_89.png,25.52,-0.83,16.93,30.51,sharp_turn
synthetic_data/images/sharp_turn_90.png,26.81,-0.59,13.82,21.26,sharp_turn
synthetic_data/images/sharp_turn_91.png,30.64,-1.57,10.64,23.81,sharp_turn
synthetic_data/images/sharp_turn_92.png,38.73,-2.34,14.59,32.6,sharp_turn
synthetic_data/images/sharp_turn_93.png,20.4,-2.31,18.29,32.86,sharp_turn
synthetic_data/images/sharp_turn_94.png,30.28,-2.23,12.19,25.03,sharp_turn
synthetic_data/images/sharp_turn_95.png,33.79,-1.5,19.38,24.55,sharp_turn
synthetic_data/images/sharp_turn_96.png,30.48,-1.71,15.76,27.7,sharp_turn
synthetic_data/images/sharp_turn_97.png,30.47,-1.24,11.18,22.18,sharp_turn
synthetic_data/images/sharp_turn_98.png,25.36,-1.21,18.66,32.21,sharp_turn
synthetic_data/images/sharp_turn_99.png,30.68,-2.13,12.66,25.48,sharp_turn
synthetic_data/images/sharp_turn_100.png,26.43,0.75,15.26,34.42,sharp_turn
synthetic_data/images/object_on_road_1.png,6.52,-3.05,22.41,21.37,object_on_road
synthetic_data/images/object_on_road_2.png,11.0,-3.84,34.26,26.61,object_on_road
synthetic_data/images/object_on_road_3.png,28.41,-2.38,36.91,18.45,object_on_road
synthetic_data/images/object_on_road_4.png,24.29,-3.43,38.17,30.11,object_on_road
synthetic_data/images/object_on_road_5.png,1.99,-4.84,33.84,29.21,object_on_road
synthetic_data/images/object_on_road_6.png,20.91,-2.42,35.97,21.86,object_on_road
synthetic_data/images/object_on_road_7.png,27.46,-2.93,33.42,16.01,object_on_road
synthetic_data/images/object_on_road_8.png,4.04,-2.48,39.59,31.17,object_on_road
synthetic_data/images/object_on_road_9.png,22.82,-3.32,32.93,27.3,object_on_road
synthetic_data/images/object_on_road_10.png,28.57,-5.99,27.94,15.08,object_on_road
synthetic_data/images/object_on_road_11.png,15.93,-4.97,22.65,30.0,object_on_road
synthetic_data/images/object_on_road_12.png,21.34,-3.94,23.4,33.32,object_on_road
synthetic_data/images/object_on_road_13.png,5.93,-4.13,39.41,23.37,object_on_road
synthetic_data/images/object_on_road_14.png,21.2,-3.05,25.5,26.17,object_on_road
synthetic_data/images/object_on_road_15.png,14.47,-4.8,39.91,27.93,object_on_road
synthetic_data/images/object_on_road_16.png,10.28,-4.9,33.56,25.0,object_on_road
synthetic_data/images/object_on_road_17.png,23.93,-2.18,27.21,32.16,object_on_road
synthetic_data/images/object_on_road_18.png,9.0,-4.9,33.78,18.74,object_on_road
synthetic_data/images/object_on_road_19.png,21.47,-3.14,24.63,26.06,object_on_road
synthetic_data/images/object_on_road_20.png,4.32,-5.92,22.97,16.36,object_on_road
synthetic_data/images/object_on_road_21.png,16.51,-3.72,20.7,17.92,object_on_road
synthetic_data/images/object_on_road_22.png,10.94,-2.41,21.61,19.26,object_on_road
synthetic_data/images/object_on_road_23.png,28.01,-5.7,21.13,20.49,object_on_road
synthetic_data/images/object_on_road_24.png,10.94,-3.33,33.09,17.48,object_on_road
synthetic_data/images/object_on_road_25.png,10.41,-2.94,38.08,24.18,object_on_road
synthetic_data/images/object_on_road_26.png,11.04,-3.94,29.84,34.35,object_on_road
synthetic_data/images/object_on_road_27.png,27.52,-5.49,21.56,28.35,object_on_road
synthetic_data/images/object_on_road_28.png,9.6,-4.28,31.99,24.66,object_on_road
synthetic_data/images/object_on_road_29.png,24.08,-4.01,26.82,22.42,object_on_road
synthetic_data/images/object_on_road_30.png,29.8,-5.87,20.12,20.83,object_on_road
synthetic_data/images/object_on_road_31.png,11.25,-2.61,23.36,29.16,object_on_road
synthetic_data/images/object_on_road_32.png,6.05,-1.5,32.14,25.96,object_on_road
synthetic_data/images/object_on_road_33.png,7.8,-4.57,30.5,18.72,object_on_road
synthetic_data/images/object_on_road_34.png,10.47,-4.65,25.11,28.23,object_on_road
synthetic_data/images/object_on_road_35.png,10.01,-2.03,21.18,30.74,object_on_road
synthetic_data/images/object_on_road_36.png,24.04,-6.36,23.73,31.52,object_on_road
synthetic_data/images/object_on_road_37.png,9.71,-5.26,25.0,33.65,object_on_road
synthetic_data/images/object_on_road_38.png,20.26,-4.42,24.13,16.68,object_on_road
synthetic_data/images/object_on_road_39.png,24.32,-3.31,27.24,27.12,object_on_road
synthetic_data/images/object_on_road_40.png,11.98,-5.85,28.26,21.12,object_on_road
synthetic_data/images/object_on_road_41.png,18.13,-4.83,28.86,17.75,object_on_road
synthetic_data/images/object_on_road_42.png,3.54,-5.17,30.06,34.39,object_on_road
synthetic_data/images/object_on_road_43.png,10.35,-3.44,31.63,32.37,object_on_road
synthetic_data/images/object_on_road_44.png,5.12,-4.29,27.08,21.73,object_on_road
synthetic_data/images/object_on_road_45.png,2.94,-6.19,37.85,26.43,object_on_road
synthetic_data/images/object_on_road_46.png,25.46,-5.5,30.58,19.93,object_on_road
synthetic_data/images/object_on_road_47.png,21.59,-2.64,25.97,27.72,object_on_road
synthetic_data/images/object_on_road_48.png,26.08,-5.17,32.21,19.83,object_on_road
synthetic_data/images/object_on_road_49.png,23.71,-5.95,25.92,17.52,object_on_road
synthetic_data/images/object_on_road_50.png,5.19,-4.68,32.95,18.77,object_on_road
synthetic_data/images/object_on_road_51.png,12.52,-3.25,34.3,20.43,object_on_road
synthetic_data/images/object_on_road_52.png,10.53,-4.31,35.23,27.92,object_on_road
